population,region
Arran_(AR),Scotland
Balnaguard_Glen_(BG),Scotland
Beinn_Eighe,Scotland
Blea_Tarn_(BT),Lake District
Blowick_Fell_(BF),Lake District
Botton,Yorkshire
Bryn_Pydew,Wales
Bulford_Hill_(BH),S. England
Bwol_Glasshouse,Wales
Chapel_Fair_Isle,N. Isles
Clashindarroch_(CD),Scotland
Cwm_Bychan,Wales
Danebury_Hill_(DH),S. England
Fasnakyle_(FK),Scotland
Fionphort_Mull,Scotland
Fleam_Dyke_Cambridgeshire,S. England
Glen_Artney_(GA),Scotland
Gower_Overton,Wales
Gower_Sunnybank,Wales
Hob_Hole,Yorkshire
Horton_in_Ribblesdale,Yorkshire
Invernaver_(IN),Scotland
Juniper_Craigs,Scotland
Kirk_Fair_Isle,N. Isles
Lammermuir_(LM),Scotland
Loch_Maree_Islands,Scotland
Morrone_Birkwood_(MB),Scotland
Muckle_Roe,N. Isles
Mull_of_Galloway_Scotland,Scotland
Orkney_Hoy,N. Isles
Painswick_Beacon,S. England
Porton_Down_(PD),S. England
Prestatyn,Wales
Ronas_Hill,N. Isles
Sandness_Cornhead,N. Isles
Stromness_Waterworks,N. Isles
Thwaites_Feu_(TF),Lake District
Tynron_(TY),Scotland
Westerwick_Shetland,N. Isles
Wheeldale,Yorkshire
Whitewell_(WW),Scotland
Houll_Fair_Isle_(Bird_Observatory),N. Isles
Malham_tarn,Yorkshire
